pid, time, age, native-country, fnlwgt, occupation, education-num, marital-status, capital-gain, education, capital-loss, hours-per-week, workclass, relationship, race, sex, income
9194, 9194, 41,United-States,344329,Other-service,9,Married-civ-spouse,0,HS-grad,0,10,Self-emp-not-inc,Husband,White,Male,<=50K
9195, 9195, 26,United-States,137678,Other-service,9,Never-married,0,HS-grad,0,40,Private,Not-in-family,White,Male,<=50K
9196, 9196, 23,United-States,175424,Adm-clerical,10,Never-married,0,Some-college,0,40,Private,Own-child,Black,Female,<=50K
9197, 9197, 33,United-States,73296,Other-service,9,Never-married,1831,HS-grad,0,40,State-gov,Unmarried,Black,Female,<=50K
9198, 9198, 30,Taiwan,137613,Prof-specialty,14,Married-civ-spouse,0,Masters,0,17,State-gov,Husband,Asian-Pac-Islander,Male,<=50K
9199, 9199, 67,United-States,354405,Other-service,9,Widowed,0,HS-grad,0,20,Self-emp-not-inc,Not-in-family,White,Female,<=50K
9200, 9200, 32,United-States,130057,Sales,9,Married-civ-spouse,0,HS-grad,0,55,Private,Husband,White,Male,>50K
9201, 9201, 48,United-States,362883,Craft-repair,9,Divorced,0,HS-grad,0,60,Self-emp-not-inc,Not-in-family,White,Male,>50K
9202, 9202, 51,United-States,49017,Other-service,9,Widowed,0,HS-grad,0,24,Private,Not-in-family,White,Female,<=50K
9203, 9203, 39,China,149943,Sales,14,Never-married,0,Masters,0,40,Private,Not-in-family,Asian-Pac-Islander,Male,<=50K
9204, 9204, 40,United-States,99185,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,60,Self-emp-inc,Husband,White,Male,<=50K
9205, 9205, 40,United-States,294708,Transport-moving,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,Black,Male,>50K
9206, 9206, 19,Mexico,228238,Machine-op-inspct,9,Never-married,0,HS-grad,0,40,Private,Other-relative,White,Male,<=50K
9207, 9207, 28,United-States,156819,Handlers-cleaners,9,Divorced,0,HS-grad,0,36,Private,Unmarried,White,Female,<=50K
9208, 9208, 47,United-States,332727,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,60,Private,Husband,White,Male,>50K
9209, 9209, 20,United-States,289944,Prof-specialty,10,Never-married,0,Some-college,0,20,Private,Not-in-family,White,Female,<=50K
9210, 9210, 41,United-States,116103,Exec-managerial,9,Widowed,914,HS-grad,0,40,Private,Other-relative,White,Male,<=50K
9211, 9211, 29,United-States,24153,Other-service,10,Married-civ-spouse,0,Some-college,0,40,Private,Wife,Amer-Indian-Eskimo,Female,<=50K
9212, 9212, 40,United-States,273425,Exec-managerial,13,Married-civ-spouse,0,Bachelors,0,50,Private,Husband,White,Male,>50K
9213, 9213, 61,United-States,231183,Exec-managerial,9,Widowed,0,HS-grad,0,40,Private,Not-in-family,White,Female,<=50K
9214, 9214, 25,Mexico,313930,Craft-repair,7,Never-married,0,11th,0,40,Private,Not-in-family,White,Male,<=50K
9215, 9215, 26,United-States,114483,Machine-op-inspct,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
9216, 9216, 43,United-States,162108,Adm-clerical,13,Never-married,0,Bachelors,0,40,Private,Not-in-family,White,Female,<=50K
9217, 9217, 17,United-States,168807,Craft-repair,4,Never-married,0,7th-8th,0,45,Private,Not-in-family,White,Male,<=50K
9218, 9218, 43,United-States,143828,Prof-specialty,14,Divorced,9562,Masters,0,40,Local-gov,Unmarried,Black,Female,>50K
9219, 9219, 73,England,242769,Machine-op-inspct,9,Married-civ-spouse,3471,HS-grad,0,40,Private,Husband,White,Male,<=50K
9220, 9220, 46,United-States,111558,Machine-op-inspct,10,Divorced,0,Some-college,0,40,Local-gov,Own-child,White,Female,<=50K
9221, 9221, 19,United-States,69770,Other-service,10,Never-married,0,Some-college,0,20,Private,Own-child,White,Male,<=50K
9222, 9222, 37,United-States,291981,Machine-op-inspct,9,Divorced,0,HS-grad,0,40,Private,Not-in-family,White,Male,<=50K
9223, 9223, 26,United-States,102460,Adm-clerical,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,White,Male,<=50K
9224, 9224, 47,United-States,151584,Sales,9,Divorced,0,HS-grad,1876,40,Private,Own-child,White,Male,<=50K
9225, 9225, 47,United-States,287320,Prof-specialty,14,Never-married,0,Masters,0,40,Local-gov,Not-in-family,White,Male,<=50K
9226, 9226, 29,United-States,115677,Prof-specialty,13,Never-married,0,Bachelors,0,40,Private,Not-in-family,White,Male,<=50K
9227, 9227, 29,United-States,239632,Adm-clerical,9,Never-married,0,HS-grad,0,40,Private,Not-in-family,White,Female,<=50K
9228, 9228, 33,United-States,409172,Exec-managerial,13,Married-civ-spouse,0,Bachelors,0,55,Private,Own-child,White,Male,<=50K
9229, 9229, 20,United-States,186849,Transport-moving,9,Never-married,0,HS-grad,0,40,Private,Other-relative,White,Male,<=50K
9230, 9230, 28,Guatemala,118861,Craft-repair,6,Married-civ-spouse,0,10th,0,48,Private,Wife,Other,Female,<=50K
9231, 9231, 41,United-States,170924,Prof-specialty,14,Married-civ-spouse,0,Masters,0,40,State-gov,Husband,White,Male,<=50K
9232, 9232, 43,United-States,153489,Sales,13,Married-civ-spouse,0,Bachelors,0,50,Private,Husband,White,Male,<=50K
9233, 9233, 35,United-States,186489,Handlers-cleaners,5,Married-civ-spouse,0,9th,0,46,Private,Husband,White,Male,<=50K
9234, 9234, 18,United-States,192409,Other-service,8,Never-married,0,12th,0,25,Private,Own-child,White,Female,<=50K
9235, 9235, 55,United-States,337599,Adm-clerical,10,Divorced,0,Some-college,0,40,State-gov,Not-in-family,White,Male,<=50K
9236, 9236, 44,United-States,195545,Machine-op-inspct,9,Divorced,0,HS-grad,0,40,Private,Own-child,Black,Female,<=50K
9237, 9237, 64,United-States,61892,Priv-house-serv,9,Widowed,0,HS-grad,0,15,Private,Not-in-family,White,Female,<=50K
9238, 9238, 34,United-States,175697,Craft-repair,11,Married-civ-spouse,0,Assoc-voc,0,75,Self-emp-not-inc,Husband,White,Male,<=50K
9239, 9239, 38,United-States,80303,Sales,10,Married-civ-spouse,0,Some-college,0,60,Private,Husband,White,Male,>50K
9240, 9240, 25,United-States,419658,Other-service,9,Never-married,0,HS-grad,0,8,Private,Own-child,White,Female,<=50K
9241, 9241, 21,United-States,319163,Transport-moving,10,Never-married,0,Some-college,0,40,Private,Own-child,Black,Male,<=50K
9242, 9242, 37,Mexico,126743,Other-service,2,Married-civ-spouse,0,1st-4th,0,53,Private,Husband,White,Male,<=50K
9243, 9243, 39,United-States,301568,Sales,10,Divorced,0,Some-college,0,40,Private,Unmarried,White,Female,<=50K
9244, 9244, 34,United-States,120461,Adm-clerical,10,Divorced,0,Some-college,0,50,Private,Not-in-family,White,Female,<=50K
9245, 9245, 23,United-States,268145,Exec-managerial,13,Never-married,0,Bachelors,0,45,Private,Not-in-family,White,Female,<=50K
9246, 9246, 54,United-States,257337,Craft-repair,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,White,Male,>50K
9247, 9247, 49,United-States,213354,Exec-managerial,14,Separated,0,Masters,0,70,Self-emp-inc,Not-in-family,White,Male,>50K
9248, 9248, 25,United-States,303431,Adm-clerical,9,Married-civ-spouse,0,HS-grad,0,40,Private,Wife,White,Female,<=50K
9249, 9249, 51,United-States,124963,Sales,12,Married-civ-spouse,0,Assoc-acdm,0,50,Private,Husband,White,Male,<=50K
9250, 9250, 29,United-States,158218,Farming-fishing,9,Never-married,0,HS-grad,0,35,Private,Unmarried,White,Male,<=50K
9251, 9251, 27,United-States,553473,Protective-serv,13,Married-civ-spouse,0,Bachelors,0,48,State-gov,Wife,Black,Female,<=50K
9252, 9252, 53,United-States,46155,Priv-house-serv,9,Married-civ-spouse,0,HS-grad,0,40,Private,Other-relative,White,Female,<=50K
9253, 9253, 68,United-States,138714,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,55,Private,Husband,White,Male,>50K
9254, 9254, 56,United-States,231781,Sales,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,>50K
9255, 9255, 24,United-States,19410,Sales,9,Divorced,0,HS-grad,0,48,Private,Unmarried,Amer-Indian-Eskimo,Female,<=50K
9256, 9256, 24,United-States,185821,Sales,10,Never-married,0,Some-college,0,40,Private,Own-child,White,Female,<=50K
9257, 9257, 41,United-States,144995,Exec-managerial,14,Married-civ-spouse,0,Masters,0,55,Local-gov,Husband,White,Male,<=50K
9258, 9258, 45,United-States,162494,Sales,9,Never-married,0,HS-grad,0,19,Private,Own-child,White,Female,<=50K
9259, 9259, 35,United-States,171968,Machine-op-inspct,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
9260, 9260, 21,United-States,232569,Handlers-cleaners,9,Never-married,0,HS-grad,0,40,Private,Not-in-family,White,Male,<=50K
9261, 9261, 45,United-States,161819,Adm-clerical,7,Separated,0,11th,0,25,Private,Unmarried,Black,Female,<=50K
9262, 9262, 18,United-States,123343,Sales,7,Never-married,0,11th,0,30,Private,Not-in-family,White,Female,<=50K
9263, 9263, 49,United-States,105449,Priv-house-serv,13,Never-married,0,Bachelors,0,25,Private,Not-in-family,White,Male,<=50K
9264, 9264, 49,United-States,181717,Prof-specialty,11,Separated,0,Assoc-voc,0,36,Private,Own-child,White,Female,<=50K
9265, 9265, 45,United-States,102359,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,37,Local-gov,Husband,White,Male,<=50K
9266, 9266, 27,United-States,72887,Handlers-cleaners,9,Never-married,0,HS-grad,0,40,Private,Other-relative,Asian-Pac-Islander,Male,<=50K
9267, 9267, 28,Philippines,154571,Exec-managerial,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,Asian-Pac-Islander,Male,<=50K
9268, 9268, 35,United-States,255191,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,45,Private,Husband,White,Male,>50K
9269, 9269, 33,United-States,174789,Machine-op-inspct,10,Never-married,0,Some-college,0,40,Private,Not-in-family,White,Male,<=50K
9270, 9270, 35,United-States,110402,Sales,7,Married-civ-spouse,0,11th,0,35,Private,Husband,White,Male,<=50K
9271, 9271, 19,United-States,208513,Craft-repair,9,Never-married,0,HS-grad,0,40,Private,Other-relative,White,Male,<=50K
9272, 9272, 33,United-States,121904,Other-service,10,Never-married,0,Some-college,0,28,Private,Not-in-family,White,Female,<=50K
9273, 9273, 28,United-States,34335,Sales,9,Divorced,14084,HS-grad,0,40,Private,Not-in-family,Amer-Indian-Eskimo,Male,>50K
9274, 9274, 49,United-States,59380,Adm-clerical,10,Married-spouse-absent,0,Some-college,0,40,Private,Not-in-family,White,Female,<=50K
9275, 9275, 39,United-States,126675,Prof-specialty,10,Married-civ-spouse,0,Some-college,0,25,Self-emp-inc,Husband,White,Male,<=50K
9276, 9276, 22,United-States,217363,Adm-clerical,9,Separated,0,HS-grad,0,40,Private,Unmarried,White,Female,<=50K
9277, 9277, 42,United-States,91836,Craft-repair,6,Married-civ-spouse,0,10th,0,40,Private,Husband,White,Male,<=50K
9278, 9278, 22,United-States,184813,Adm-clerical,10,Never-married,0,Some-college,0,40,Private,Own-child,White,Male,<=50K
9279, 9279, 18,United-States,178142,Craft-repair,9,Never-married,0,HS-grad,0,40,Private,Own-child,White,Male,<=50K
9280, 9280, 49,United-States,102359,Handlers-cleaners,5,Widowed,0,9th,2231,40,Local-gov,Unmarried,White,Male,>50K
9281, 9281, 33,Cuba,281832,Prof-specialty,16,Married-civ-spouse,0,Doctorate,0,40,Self-emp-inc,Husband,White,Male,>50K
9282, 9282, 28,United-States,96226,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,45,Private,Husband,White,Male,<=50K
9283, 9283, 42,Puerto-Rico,195124,Prof-specialty,4,Married-spouse-absent,0,7th-8th,0,35,Private,Other-relative,White,Male,<=50K
9284, 9284, 20,United-States,56322,Other-service,10,Never-married,2176,Some-college,0,25,Private,Own-child,White,Male,<=50K
9285, 9285, 50,United-States,97449,Protective-serv,10,Married-civ-spouse,0,Some-college,0,48,Local-gov,Husband,White,Male,<=50K
9286, 9286, 32,United-States,339773,Exec-managerial,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,White,Male,>50K
9287, 9287, 31,United-States,210926,Handlers-cleaners,9,Separated,0,HS-grad,0,40,Federal-gov,Unmarried,White,Female,<=50K
9288, 9288, 29,United-States,199499,Other-service,11,Never-married,0,Assoc-voc,0,40,Private,Not-in-family,Black,Male,<=50K
9289, 9289, 46,United-States,190729,Other-service,10,Married-civ-spouse,0,Some-college,0,40,Federal-gov,Husband,White,Male,<=50K
9290, 9290, 32,United-States,191385,Prof-specialty,16,Never-married,0,Doctorate,0,77,Self-emp-inc,Not-in-family,White,Male,<=50K
9291, 9291, 61,United-States,193479,Adm-clerical,9,Widowed,0,HS-grad,0,24,Private,Unmarried,White,Female,<=50K
9292, 9292, 43,United-States,225165,Craft-repair,7,Married-civ-spouse,0,11th,0,55,Self-emp-not-inc,Husband,White,Male,<=50K
9293, 9293, 35,United-States,346766,Handlers-cleaners,9,Never-married,0,HS-grad,0,40,Private,Not-in-family,White,Female,<=50K
9294, 9294, 39,United-States,152307,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,40,State-gov,Husband,White,Male,<=50K
9295, 9295, 42,United-States,170649,Farming-fishing,10,Married-civ-spouse,0,Some-college,0,60,Self-emp-not-inc,Husband,White,Male,<=50K
9296, 9296, 23,United-States,197207,Prof-specialty,13,Never-married,0,Bachelors,0,40,Private,Not-in-family,White,Female,<=50K
9297, 9297, 32,United-States,229732,Sales,13,Married-civ-spouse,0,Bachelors,0,45,Private,Husband,White,Male,<=50K
9298, 9298, 52,United-States,204402,Transport-moving,9,Married-civ-spouse,0,HS-grad,0,85,Private,Husband,White,Male,>50K
9299, 9299, 36,United-States,181065,Tech-support,12,Married-civ-spouse,0,Assoc-acdm,0,40,Private,Husband,White,Male,>50K
9300, 9300, 50,United-States,237729,Sales,9,Widowed,0,HS-grad,2444,72,Private,Not-in-family,White,Female,>50K
9301, 9301, 71,United-States,179574,Prof-specialty,15,Married-civ-spouse,0,Prof-school,0,12,Private,Husband,White,Male,>50K
9302, 9302, 27,United-States,191782,Other-service,9,Never-married,0,HS-grad,0,30,Private,Other-relative,Black,Female,<=50K
9303, 9303, 56,United-States,146660,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,60,Private,Husband,White,Male,<=50K
9304, 9304, 28,United-States,115945,Prof-specialty,10,Never-married,0,Some-college,0,40,Self-emp-not-inc,Unmarried,White,Male,<=50K
9305, 9305, 45,United-States,210875,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
9306, 9306, 28,United-States,137898,Machine-op-inspct,9,Married-civ-spouse,0,HS-grad,0,40,Private,Wife,White,Female,<=50K
9307, 9307, 28,United-States,216965,Protective-serv,10,Married-civ-spouse,0,Some-college,0,40,Local-gov,Husband,White,Male,<=50K
9308, 9308, 18,United-States,201554,Machine-op-inspct,10,Never-married,0,Some-college,0,15,Private,Not-in-family,White,Female,<=50K
9309, 9309, 62,United-States,57970,Handlers-cleaners,4,Divorced,0,7th-8th,0,40,Private,Not-in-family,White,Male,<=50K
9310, 9310, 35,United-States,208378,Machine-op-inspct,8,Separated,0,12th,0,40,Private,Unmarried,White,Female,<=50K
9311, 9311, 39,United-States,61343,Machine-op-inspct,6,Married-civ-spouse,0,10th,0,60,Private,Husband,White,Male,<=50K
9312, 9312, 24,United-States,283872,Adm-clerical,10,Never-married,0,Some-college,0,20,Private,Not-in-family,Black,Male,<=50K
9313, 9313, 58,United-States,225603,Farming-fishing,5,Divorced,0,9th,0,40,Private,Not-in-family,Black,Male,<=50K
9314, 9314, 48,United-States,401333,Sales,9,Divorced,0,HS-grad,0,40,Private,Not-in-family,White,Male,<=50K
9315, 9315, 57,United-States,278228,Exec-managerial,13,Married-civ-spouse,0,Bachelors,0,50,Private,Husband,White,Male,>50K
9316, 9316, 31,United-States,145377,Sales,13,Married-civ-spouse,0,Bachelors,0,60,Private,Husband,White,Male,<=50K
9317, 9317, 25,United-States,120238,Sales,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
9318, 9318, 34,United-States,187215,Prof-specialty,13,Married-civ-spouse,15024,Bachelors,0,36,Private,Wife,White,Female,>50K
9319, 9319, 29,United-States,144063,Farming-fishing,4,Married-civ-spouse,0,7th-8th,0,72,Self-emp-not-inc,Husband,White,Male,<=50K
9320, 9320, 38,United-States,238721,Exec-managerial,12,Divorced,0,Assoc-acdm,0,40,Private,Unmarried,Black,Female,<=50K
9321, 9321, 21,United-States,164920,Other-service,10,Never-married,0,Some-college,0,40,Private,Own-child,White,Female,<=50K
9322, 9322, 34,United-States,152493,Farming-fishing,9,Married-civ-spouse,0,HS-grad,0,70,Self-emp-not-inc,Husband,White,Male,<=50K
9323, 9323, 50,United-States,92968,Sales,13,Never-married,0,Bachelors,0,32,Private,Unmarried,White,Female,<=50K
9324, 9324, 50,United-States,136836,Prof-specialty,9,Divorced,0,HS-grad,0,40,Private,Unmarried,Black,Female,<=50K
9325, 9325, 49,United-States,216453,Exec-managerial,11,Divorced,0,Assoc-voc,0,45,Federal-gov,Unmarried,Black,Female,<=50K
9326, 9326, 30,United-States,349148,Prof-specialty,13,Never-married,0,Bachelors,0,70,Private,Not-in-family,White,Male,<=50K
9327, 9327, 29,Taiwan,309620,Prof-specialty,14,Married-civ-spouse,0,Masters,0,20,State-gov,Husband,Asian-Pac-Islander,Male,<=50K
9328, 9328, 22,United-States,347803,Adm-clerical,10,Never-married,0,Some-college,0,20,State-gov,Not-in-family,Other,Male,<=50K
9329, 9329, 42,United-States,85995,Transport-moving,9,Married-civ-spouse,0,HS-grad,0,50,Private,Husband,White,Male,<=50K
9330, 9330, 31,United-States,164569,Other-service,10,Divorced,0,Some-college,0,48,Private,Unmarried,White,Female,<=50K
9331, 9331, 42,United-States,308279,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,21,Self-emp-not-inc,Husband,White,Male,<=50K
9332, 9332, 20,United-States,56322,Other-service,10,Never-married,0,Some-college,0,20,Private,Own-child,White,Male,<=50K
9333, 9333, 50,United-States,211654,Craft-repair,6,Married-civ-spouse,0,10th,0,40,Private,Husband,White,Male,>50K
9334, 9334, 27,United-States,120126,Craft-repair,5,Never-married,0,9th,0,40,Self-emp-inc,Own-child,White,Male,<=50K
9335, 9335, 26,United-States,239043,Other-service,7,Never-married,0,11th,0,40,Private,Not-in-family,White,Male,<=50K
9336, 9336, 20,Germany,312017,Protective-serv,10,Never-married,0,Some-college,0,40,Private,Own-child,White,Male,<=50K
9337, 9337, 51,United-States,257485,Craft-repair,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,White,Male,>50K
9338, 9338, 52,United-States,49243,Machine-op-inspct,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
9339, 9339, 33,United-States,229716,Adm-clerical,9,Divorced,0,HS-grad,0,38,Private,Not-in-family,White,Male,<=50K
9340, 9340, 31,India,341672,Adm-clerical,13,Married-civ-spouse,0,Bachelors,0,60,Private,Husband,Asian-Pac-Islander,Male,<=50K
9341, 9341, 24,United-States,32311,Other-service,10,Married-civ-spouse,0,Some-college,0,40,Private,Wife,White,Female,<=50K
9342, 9342, 56,United-States,275236,Machine-op-inspct,13,Married-civ-spouse,0,Bachelors,0,40,Private,Husband,White,Male,<=50K
9343, 9343, 29,United-States,184596,Craft-repair,7,Married-civ-spouse,3942,11th,0,50,Private,Husband,White,Male,<=50K
9344, 9344, 18,United-States,186909,Sales,9,Never-married,1055,HS-grad,0,30,Private,Other-relative,White,Female,<=50K
9345, 9345, 43,United-States,152420,Machine-op-inspct,10,Married-civ-spouse,0,Some-college,0,50,Private,Husband,Black,Male,<=50K
9346, 9346, 43,United-States,261929,Prof-specialty,16,Married-spouse-absent,25236,Doctorate,0,64,State-gov,Unmarried,White,Male,>50K
9347, 9347, 21,United-States,235442,Adm-clerical,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
9348, 9348, 51,United-States,161691,Adm-clerical,9,Married-civ-spouse,0,HS-grad,0,40,Private,Wife,White,Female,<=50K
9349, 9349, 41,United-States,355918,Transport-moving,10,Married-civ-spouse,0,Some-college,0,65,Private,Husband,White,Male,>50K
9350, 9350, 45,United-States,198660,Prof-specialty,10,Married-civ-spouse,0,Some-college,0,40,State-gov,Husband,White,Male,>50K
9351, 9351, 20,United-States,122649,Other-service,9,Never-married,0,HS-grad,0,30,Private,Not-in-family,White,Female,<=50K
9352, 9352, 28,United-States,421967,Exec-managerial,13,Married-civ-spouse,0,Bachelors,0,60,Private,Wife,White,Female,>50K
9353, 9353, 50,United-States,259377,Prof-specialty,14,Married-civ-spouse,15024,Masters,0,40,Local-gov,Wife,White,Female,>50K
9354, 9354, 47,United-States,74305,Craft-repair,13,Divorced,0,Bachelors,0,40,Private,Not-in-family,White,Male,<=50K
9355, 9355, 80,United-States,34340,Farming-fishing,4,Widowed,0,7th-8th,0,35,Self-emp-not-inc,Not-in-family,White,Male,<=50K
9356, 9356, 47,Iran,182752,Adm-clerical,9,Married-civ-spouse,0,HS-grad,0,35,Self-emp-not-inc,Wife,White,Female,<=50K
9357, 9357, 45,United-States,34248,Sales,9,Married-civ-spouse,0,HS-grad,0,50,Private,Husband,White,Male,<=50K
9358, 9358, 17,United-States,186677,Handlers-cleaners,7,Never-married,0,11th,0,12,Private,Own-child,White,Male,<=50K
9359, 9359, 37,United-States,167851,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,50,Private,Husband,White,Male,<=50K
9360, 9360, 27,United-States,146460,Machine-op-inspct,10,Never-married,0,Some-college,0,40,Private,Not-in-family,White,Female,<=50K
9361, 9361, 17,United-States,209650,Other-service,8,Never-married,0,12th,0,16,Private,Own-child,White,Male,<=50K
9362, 9362, 18,United-States,132986,Farming-fishing,9,Never-married,0,HS-grad,0,40,Self-emp-not-inc,Own-child,White,Male,<=50K
9363, 9363, 57,United-States,94429,Handlers-cleaners,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
9364, 9364, 26,United-States,252406,Adm-clerical,9,Separated,0,HS-grad,0,40,Private,Unmarried,White,Female,<=50K
9365, 9365, 26,United-States,174592,Exec-managerial,14,Never-married,0,Masters,0,40,Private,Own-child,White,Female,<=50K
9366, 9366, 36,United-States,151322,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,45,Self-emp-not-inc,Husband,White,Male,>50K
9367, 9367, 51,United-States,37237,Farming-fishing,9,Married-civ-spouse,0,HS-grad,0,80,Private,Husband,White,Male,>50K
9368, 9368, 38,United-States,101192,Other-service,10,Never-married,0,Some-college,0,40,Private,Not-in-family,White,Male,<=50K
9369, 9369, 51,United-States,94081,Craft-repair,9,Never-married,0,HS-grad,0,40,Private,Not-in-family,White,Male,>50K
9370, 9370, 24,United-States,329408,Handlers-cleaners,7,Never-married,0,11th,0,40,Private,Not-in-family,White,Male,<=50K
9371, 9371, 35,United-States,106028,Farming-fishing,9,Divorced,0,HS-grad,0,65,Private,Not-in-family,White,Male,<=50K
9372, 9372, 51,United-States,167793,Exec-managerial,13,Married-civ-spouse,15024,Bachelors,0,40,Self-emp-inc,Husband,White,Male,>50K
9373, 9373, 28,United-States,138692,Exec-managerial,13,Married-civ-spouse,0,Bachelors,0,40,Private,Husband,White,Male,>50K
9374, 9374, 37,United-States,173968,Transport-moving,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
9375, 9375, 43,United-States,228320,Exec-managerial,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
9376, 9376, 23,United-States,96585,Handlers-cleaners,9,Never-married,0,HS-grad,0,30,Private,Not-in-family,White,Male,<=50K
9377, 9377, 42,Puerto-Rico,156580,Sales,13,Married-civ-spouse,0,Bachelors,0,40,Private,Wife,White,Female,<=50K
9378, 9378, 58,United-States,210673,Adm-clerical,10,Married-civ-spouse,0,Some-college,0,40,Private,Wife,White,Female,>50K
9379, 9379, 52,United-States,137753,Other-service,9,Married-civ-spouse,0,HS-grad,0,20,Local-gov,Wife,Black,Female,<=50K
9380, 9380, 29,United-States,29865,Sales,9,Divorced,0,HS-grad,0,50,Private,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
9381, 9381, 27,United-States,196044,Craft-repair,10,Married-civ-spouse,0,Some-college,0,60,Private,Husband,White,Male,<=50K
9382, 9382, 28,Jamaica,308995,Adm-clerical,10,Never-married,0,Some-college,0,40,Private,Own-child,Black,Female,<=50K
9383, 9383, 59,United-States,159008,Craft-repair,12,Married-civ-spouse,7298,Assoc-acdm,0,20,Private,Husband,White,Male,>50K
9384, 9384, 28,United-States,362491,Handlers-cleaners,9,Never-married,0,HS-grad,0,40,Private,Own-child,White,Male,<=50K
9385, 9385, 24,United-States,94395,Craft-repair,10,Never-married,0,Some-college,0,40,Private,Not-in-family,White,Male,<=50K
9386, 9386, 20,United-States,320047,Handlers-cleaners,6,Married-spouse-absent,0,10th,0,40,Private,Not-in-family,White,Male,<=50K
9387, 9387, 54,United-States,98535,Exec-managerial,13,Married-civ-spouse,0,Bachelors,0,40,Private,Husband,White,Male,>50K
9388, 9388, 65,United-States,183170,Other-service,9,Divorced,0,HS-grad,0,25,Private,Not-in-family,White,Male,<=50K
9389, 9389, 38,United-States,195686,Craft-repair,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,White,Male,>50K
9390, 9390, 29,United-States,178244,Machine-op-inspct,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
9391, 9391, 27,United-States,127833,Adm-clerical,9,Never-married,0,HS-grad,0,40,Private,Own-child,Black,Female,<=50K
9392, 9392, 36,United-States,269722,Other-service,14,Married-civ-spouse,0,Masters,0,40,Private,Husband,White,Male,<=50K
9393, 9393, 55,United-States,136819,Protective-serv,9,Married-civ-spouse,0,HS-grad,0,40,State-gov,Husband,White,Male,<=50K
9394, 9394, 22,Mexico,205604,Machine-op-inspct,3,Never-married,0,5th-6th,0,30,Private,Not-in-family,White,Male,<=50K
9395, 9395, 28,United-States,132078,Prof-specialty,13,Never-married,0,Bachelors,0,40,Private,Not-in-family,White,Female,<=50K
9396, 9396, 20,United-States,234880,Sales,10,Never-married,0,Some-college,0,30,Private,Own-child,White,Female,<=50K
9397, 9397, 24,United-States,196816,Prof-specialty,13,Married-civ-spouse,3908,Bachelors,0,40,Private,Husband,White,Male,<=50K
9398, 9398, 36,United-States,237943,Exec-managerial,14,Married-civ-spouse,15024,Masters,0,50,Private,Husband,White,Male,>50K
9399, 9399, 68,United-States,140852,Sales,9,Married-civ-spouse,0,HS-grad,0,40,Self-emp-inc,Husband,White,Male,<=50K
9400, 9400, 49,United-States,105614,Sales,9,Divorced,0,HS-grad,0,50,Self-emp-not-inc,Not-in-family,White,Male,>50K
9401, 9401, 18,United-States,83492,Machine-op-inspct,4,Never-married,0,7th-8th,0,40,Private,Own-child,White,Male,<=50K
9402, 9402, 50,United-States,225772,Prof-specialty,16,Divorced,0,Doctorate,0,60,Self-emp-not-inc,Not-in-family,White,Female,>50K
9403, 9403, 37,United-States,242713,Priv-house-serv,8,Separated,0,12th,0,40,Private,Unmarried,Black,Female,<=50K
9404, 9404, 60,United-States,355865,Exec-managerial,14,Married-civ-spouse,0,Masters,0,50,Private,Husband,White,Male,>50K
9405, 9405, 43,United-States,173316,Craft-repair,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,White,Male,<=50K
9406, 9406, 43,United-States,35662,Prof-specialty,16,Married-civ-spouse,0,Doctorate,0,70,Self-emp-inc,Wife,White,Female,>50K
9407, 9407, 17,United-States,297246,Priv-house-serv,7,Never-married,0,11th,0,9,Private,Own-child,White,Female,<=50K
