pid, time, native-country, occupation, marital-status, education, hours-per-week, capital-loss, capital-gain, education-num, fnlwgt, age, workclass, relationship, race, sex, income
4070, 4070,United-States,Exec-managerial,Never-married,Bachelors,70,0,0,13,296999, 38,Private,Not-in-family,White,Female,<=50K
4071, 4071,United-States,Sales,Married-civ-spouse,HS-grad,40,0,0,9,123681, 45,Private,Husband,White,Male,>50K
4072, 4072,United-States,Machine-op-inspct,Never-married,11th,55,0,0,7,232024, 18,Private,Own-child,White,Male,<=50K
4073, 4073,United-States,Exec-managerial,Married-civ-spouse,Masters,50,0,0,14,52267, 57,Local-gov,Husband,White,Male,>50K
4074, 4074,United-States,Other-service,Separated,HS-grad,35,0,0,9,119182, 49,Private,Not-in-family,Black,Female,<=50K
4075, 4075,Yugoslavia,Exec-managerial,Never-married,Some-college,40,0,0,10,191230, 25,Private,Own-child,White,Female,<=50K
4076, 4076,United-States,Adm-clerical,Divorced,Some-college,40,0,0,10,23780, 52,Federal-gov,Not-in-family,White,Male,<=50K
4077, 4077,United-States,Craft-repair,Divorced,10th,56,0,0,6,184553, 56,Private,Not-in-family,White,Male,<=50K
4078, 4078,United-States,Sales,Never-married,Some-college,48,0,0,10,242651, 26,Self-emp-inc,Not-in-family,White,Male,<=50K
4079, 4079,United-States,Craft-repair,Never-married,HS-grad,40,0,0,9,246226, 19,Private,Not-in-family,White,Female,<=50K
4080, 4080,United-States,Adm-clerical,Never-married,Bachelors,40,0,0,13,86745, 25,Self-emp-inc,Own-child,Asian-Pac-Islander,Female,<=50K
4081, 4081,United-States,Adm-clerical,Married-civ-spouse,HS-grad,30,0,0,9,106889, 25,Private,Wife,White,Female,<=50K
4082, 4082,United-States,Sales,Never-married,HS-grad,45,0,0,9,460835, 21,Private,Other-relative,White,Male,<=50K
4083, 4083,Italy,Craft-repair,Married-civ-spouse,7th-8th,40,0,0,4,213140, 48,Self-emp-not-inc,Husband,White,Male,<=50K
4084, 4084,Canada,Prof-specialty,Married-civ-spouse,Masters,60,0,0,14,37070, 33,State-gov,Husband,White,Male,<=50K
4085, 4085,United-States,Protective-serv,Divorced,HS-grad,40,0,0,9,93589, 31,State-gov,Own-child,Other,Male,<=50K
4086, 4086,United-States,Farming-fishing,Divorced,HS-grad,65,0,0,9,213258, 26,Self-emp-not-inc,Unmarried,White,Male,<=50K
4087, 4087,United-States,Prof-specialty,Never-married,Bachelors,38,0,0,13,46814, 37,State-gov,Not-in-family,White,Male,<=50K
4088, 4088,United-States,Other-service,Never-married,Some-college,20,0,0,10,284737, 20,Private,Own-child,White,Male,<=50K
4089, 4089,United-States,Adm-clerical,Widowed,HS-grad,20,0,0,9,197418, 49,Private,Unmarried,White,Female,<=50K
4090, 4090,United-States,Exec-managerial,Married-civ-spouse,Masters,40,1977,0,14,185041, 49,Private,Husband,White,Male,>50K
4091, 4091,United-States,Prof-specialty,Married-civ-spouse,Some-college,40,0,0,10,159604, 51,Private,Wife,White,Female,>50K
4092, 4092,United-States,Sales,Married-civ-spouse,Some-college,40,0,0,10,123557, 40,Private,Husband,White,Male,<=50K
4093, 4093,United-States,Machine-op-inspct,Never-married,Assoc-voc,40,0,0,11,275421, 24,Private,Own-child,White,Female,<=50K
4094, 4094,United-States,Sales,Never-married,12th,24,0,0,8,167147, 18,Private,Own-child,White,Male,<=50K
4095, 4095,United-States,Transport-moving,Married-civ-spouse,10th,40,0,0,6,197583, 41,Private,Husband,Black,Male,>50K
4096, 4096,United-States,Adm-clerical,Married-civ-spouse,HS-grad,40,1485,0,9,175109, 46,Private,Husband,White,Male,>50K
4097, 4097,United-States,Adm-clerical,Married-civ-spouse,HS-grad,40,0,0,9,117502, 46,Private,Wife,White,Female,<=50K
4098, 4098,United-States,Transport-moving,Married-civ-spouse,10th,40,0,0,6,180401, 64,Private,Husband,White,Male,>50K
4099, 4099,United-States,Prof-specialty,Married-civ-spouse,Prof-school,40,0,0,15,146603, 50,Self-emp-not-inc,Husband,White,Male,>50K
4100, 4100,United-States,Prof-specialty,Married-civ-spouse,Masters,36,0,0,14,143822, 53,State-gov,Husband,White,Male,>50K
4101, 4101,United-States,Craft-repair,Never-married,HS-grad,40,0,0,9,51985, 21,Private,Not-in-family,White,Male,<=50K
4102, 4102,United-States,Other-service,Married-civ-spouse,Some-college,25,0,0,10,48121, 22,State-gov,Husband,White,Male,<=50K
4103, 4103,United-States,Exec-managerial,Divorced,Bachelors,45,0,7430,13,234807, 37,Private,Unmarried,White,Female,>50K
4104, 4104,United-States,Prof-specialty,Never-married,Prof-school,55,0,0,15,65324, 39,Federal-gov,Not-in-family,White,Male,>50K
4105, 4105,India,Sales,Married-civ-spouse,Bachelors,40,0,0,13,302149, 30,Private,Husband,Asian-Pac-Islander,Male,<=50K
4106, 4106,United-States,Prof-specialty,Never-married,Bachelors,40,1741,0,13,168403, 25,Private,Not-in-family,White,Male,<=50K
4107, 4107,United-States,Exec-managerial,Never-married,Some-college,40,0,0,10,159897, 26,Private,Unmarried,Black,Female,<=50K
4108, 4108,United-States,Sales,Never-married,Bachelors,50,0,0,13,416338, 43,Private,Not-in-family,White,Male,<=50K
4109, 4109,United-States,Adm-clerical,Widowed,HS-grad,60,0,0,9,370615, 59,Private,Unmarried,White,Female,<=50K
4110, 4110,Jamaica,Adm-clerical,Married-spouse-absent,HS-grad,40,0,0,9,219371, 27,Private,Unmarried,White,Female,<=50K
4111, 4111,United-States,Craft-repair,Married-civ-spouse,10th,40,0,0,6,120970, 55,Private,Husband,Black,Male,>50K
4112, 4112,Canada,Other-service,Never-married,Some-college,12,0,0,10,22966, 20,Private,Own-child,White,Male,<=50K
4113, 4113,Canada,Prof-specialty,Never-married,Assoc-voc,36,0,0,11,34541, 25,Private,Not-in-family,White,Female,<=50K
4114, 4114,United-States,Other-service,Separated,Assoc-acdm,40,0,0,12,191027, 28,Private,Not-in-family,White,Male,<=50K
4115, 4115,United-States,Sales,Never-married,Bachelors,50,0,0,13,107458, 29,Private,Not-in-family,White,Male,<=50K
4116, 4116,United-States,Sales,Married-civ-spouse,11th,40,0,0,7,121832, 60,Private,Husband,White,Male,>50K
4117, 4117,United-States,Prof-specialty,Married-civ-spouse,Bachelors,50,0,15024,13,233825, 37,Local-gov,Wife,White,Female,>50K
4118, 4118,United-States,Sales,Divorced,11th,40,0,0,7,73839, 25,Private,Own-child,White,Female,<=50K
4119, 4119,United-States,Craft-repair,Married-civ-spouse,Some-college,60,0,0,10,109165, 27,Private,Husband,White,Male,<=50K
4120, 4120,United-States,Exec-managerial,Married-civ-spouse,Bachelors,40,0,0,13,103063, 50,State-gov,Husband,White,Male,>50K
4121, 4121,United-States,Farming-fishing,Married-civ-spouse,Some-college,70,0,5013,10,29762, 41,Self-emp-not-inc,Husband,White,Male,<=50K
4122, 4122,United-States,Craft-repair,Married-civ-spouse,7th-8th,47,0,0,4,111979, 46,Private,Husband,White,Male,<=50K
4123, 4123,United-States,Other-service,Divorced,Assoc-voc,40,0,0,11,150125, 35,Private,Unmarried,Black,Female,<=50K
4124, 4124,United-States,Handlers-cleaners,Never-married,HS-grad,40,0,0,9,118001, 40,Private,Not-in-family,Black,Male,<=50K
4125, 4125,United-States,Exec-managerial,Married-civ-spouse,Bachelors,40,0,0,13,149337, 49,Private,Husband,White,Male,>50K
4126, 4126,United-States,Prof-specialty,Never-married,Bachelors,50,0,0,13,36601, 29,Private,Not-in-family,White,Female,<=50K
4127, 4127,United-States,Prof-specialty,Divorced,Bachelors,40,625,0,13,118600, 43,Local-gov,Unmarried,White,Female,<=50K
4128, 4128,United-States,Transport-moving,Never-married,Assoc-acdm,60,0,0,12,279272, 39,Private,Not-in-family,Black,Male,<=50K
4129, 4129,United-States,Handlers-cleaners,Never-married,HS-grad,60,0,0,9,181020, 35,Private,Own-child,White,Male,<=50K
4130, 4130,United-States,Machine-op-inspct,Married-civ-spouse,Some-college,40,0,0,10,165998, 52,Private,Husband,White,Male,<=50K
4131, 4131,Outlying-US(Guam-USVI-etc),Handlers-cleaners,Never-married,Some-college,40,0,0,10,218136, 25,Private,Not-in-family,Black,Male,<=50K
4132, 4132,United-States,Machine-op-inspct,Never-married,HS-grad,30,0,0,9,182200, 20,Self-emp-inc,Own-child,White,Female,<=50K
4133, 4133,United-States,Exec-managerial,Never-married,Bachelors,40,0,0,13,140001, 24,Private,Not-in-family,White,Male,<=50K
4134, 4134,India,Craft-repair,Married-civ-spouse,Bachelors,30,0,0,13,193260, 29,Private,Other-relative,Asian-Pac-Islander,Male,<=50K
4135, 4135,United-States,Other-service,Never-married,Some-college,40,0,0,10,191243, 21,Private,Own-child,White,Male,<=50K
4136, 4136,United-States,Exec-managerial,Divorced,Bachelors,50,0,0,13,207887, 37,Federal-gov,Other-relative,White,Female,<=50K
4137, 4137,United-States,Adm-clerical,Never-married,HS-grad,40,0,0,9,211450, 43,Federal-gov,Own-child,White,Male,<=50K
4138, 4138,United-States,Adm-clerical,Never-married,HS-grad,26,0,0,9,184759, 19,Private,Not-in-family,White,Female,<=50K
4139, 4139,United-States,Sales,Married-civ-spouse,HS-grad,45,0,0,9,197836, 47,Private,Husband,White,Male,<=50K
4140, 4140,United-States,Transport-moving,Married-civ-spouse,HS-grad,45,0,0,9,232308, 61,Private,Husband,White,Male,>50K
4141, 4141,United-States,Other-service,Married-civ-spouse,HS-grad,60,0,0,9,301614, 35,Private,Husband,White,Male,<=50K
4142, 4142,United-States,Handlers-cleaners,Married-civ-spouse,10th,40,0,0,6,146674, 60,Private,Husband,Black,Male,<=50K
4143, 4143,United-States,Adm-clerical,Never-married,Some-college,40,0,0,10,225291, 27,Private,Not-in-family,White,Female,<=50K
4144, 4144,India,Prof-specialty,Married-civ-spouse,Bachelors,35,0,0,13,148509, 57,Local-gov,Husband,Asian-Pac-Islander,Male,<=50K
4145, 4145,United-States,Craft-repair,Married-civ-spouse,1st-4th,40,0,0,2,136413, 56,Private,Husband,White,Male,<=50K
4146, 4146,United-States,Exec-managerial,Never-married,HS-grad,40,0,0,9,126060, 27,Private,Not-in-family,White,Female,<=50K
4147, 4147,United-States,Machine-op-inspct,Married-civ-spouse,7th-8th,35,0,0,4,73064, 47,Private,Wife,Black,Female,<=50K
4148, 4148,United-States,Other-service,Never-married,HS-grad,30,0,0,9,39026, 19,Private,Not-in-family,White,Male,<=50K
4149, 4149,United-States,Other-service,Divorced,12th,30,0,0,8,33035, 28,Self-emp-not-inc,Unmarried,White,Female,<=50K
4150, 4150,United-States,Adm-clerical,Married-civ-spouse,10th,40,0,0,6,193494, 43,Private,Husband,White,Male,<=50K
4151, 4151,United-States,Exec-managerial,Divorced,Some-college,35,0,0,10,147440, 63,Local-gov,Not-in-family,White,Female,<=50K
4152, 4152,Philippines,Handlers-cleaners,Divorced,HS-grad,40,0,0,9,64671, 25,Private,Own-child,Asian-Pac-Islander,Female,<=50K
4153, 4153,United-States,Machine-op-inspct,Never-married,HS-grad,40,0,8614,9,225399, 35,Self-emp-not-inc,Own-child,White,Male,>50K
4154, 4154,United-States,Handlers-cleaners,Never-married,HS-grad,40,0,0,9,174391, 20,Private,Own-child,White,Female,<=50K
4155, 4155,United-States,Sales,Married-civ-spouse,10th,70,0,0,6,377757, 48,Private,Husband,White,Male,<=50K
4156, 4156,Germany,Prof-specialty,Never-married,Bachelors,40,0,0,13,364310, 30,Local-gov,Not-in-family,Black,Female,<=50K
4157, 4157,United-States,Prof-specialty,Married-civ-spouse,Bachelors,40,0,0,13,110643, 31,Private,Husband,White,Male,>50K
4158, 4158,Philippines,Sales,Never-married,HS-grad,24,0,0,9,70240, 20,Private,Own-child,Asian-Pac-Islander,Female,<=50K
4159, 4159,United-States,Prof-specialty,Married-civ-spouse,Masters,50,0,0,14,32694, 57,State-gov,Husband,White,Male,>50K
4160, 4160,United-States,Adm-clerical,Married-civ-spouse,Assoc-voc,44,0,7688,11,95047, 41,Private,Wife,White,Female,>50K
4161, 4161,United-States,Adm-clerical,Divorced,HS-grad,40,0,0,9,264936, 33,Private,Other-relative,White,Female,<=50K
4162, 4162,United-States,Farming-fishing,Married-civ-spouse,Assoc-voc,40,0,0,11,367329, 27,Private,Husband,White,Male,<=50K
4163, 4163,United-States,Farming-fishing,Married-civ-spouse,HS-grad,60,0,0,9,56026, 34,Private,Husband,White,Male,>50K
4164, 4164,United-States,Craft-repair,Never-married,10th,30,0,0,6,186452, 22,Private,Not-in-family,White,Male,<=50K
4165, 4165,United-States,Exec-managerial,Married-civ-spouse,Assoc-acdm,40,0,0,12,125417, 50,Private,Wife,Black,Female,>50K
4166, 4166,United-States,Prof-specialty,Married-civ-spouse,Bachelors,45,0,0,13,242082, 40,Self-emp-not-inc,Husband,White,Male,>50K
4167, 4167,United-States,Craft-repair,Married-civ-spouse,HS-grad,51,0,0,9,31023, 37,Private,Husband,White,Male,<=50K
4168, 4168,United-States,Exec-managerial,Married-civ-spouse,Masters,55,0,15024,14,424079, 53,Private,Husband,White,Male,>50K
4169, 4169,United-States,Machine-op-inspct,Married-civ-spouse,Some-college,40,0,7688,10,108947, 38,Self-emp-not-inc,Husband,White,Male,>50K
4170, 4170,United-States,Prof-specialty,Never-married,HS-grad,40,0,0,9,261979, 25,State-gov,Not-in-family,White,Male,<=50K
4171, 4171,United-States,Craft-repair,Married-civ-spouse,HS-grad,40,0,0,9,55507, 51,Private,Husband,Black,Male,<=50K
4172, 4172,United-States,Other-service,Never-married,Some-college,16,0,0,10,353358, 18,Private,Own-child,White,Male,<=50K
4173, 4173,United-States,Handlers-cleaners,Married-civ-spouse,11th,40,0,7688,7,67339, 41,Private,Husband,White,Male,>50K
4174, 4174,United-States,Adm-clerical,Never-married,HS-grad,40,0,0,9,235109, 33,Private,Unmarried,White,Female,<=50K
4175, 4175,United-States,Sales,Never-married,Bachelors,40,0,0,13,208180, 33,Private,Not-in-family,White,Female,<=50K
4176, 4176,United-States,Transport-moving,Married-civ-spouse,Some-college,40,0,0,10,423561, 67,State-gov,Husband,White,Male,<=50K
4177, 4177,United-States,Exec-managerial,Married-civ-spouse,HS-grad,50,2415,0,9,145290, 47,Self-emp-not-inc,Husband,White,Male,>50K
4178, 4178,United-States,Machine-op-inspct,Never-married,Some-college,40,0,0,10,403671, 24,Private,Not-in-family,White,Male,<=50K
4179, 4179,United-States,Other-service,Married-civ-spouse,7th-8th,40,0,0,4,49325, 32,Local-gov,Husband,White,Male,<=50K
4180, 4180,Mexico,Other-service,Never-married,HS-grad,40,0,0,9,370494, 29,Private,Unmarried,White,Female,<=50K
4181, 4181,United-States,Sales,Never-married,Assoc-voc,45,0,0,11,267012, 25,Private,Not-in-family,White,Male,<=50K
4182, 4182,United-States,Adm-clerical,Divorced,Some-college,40,0,0,10,191856, 33,Private,Not-in-family,White,Female,<=50K
4183, 4183,United-States,Craft-repair,Married-civ-spouse,Bachelors,40,0,0,13,80445, 55,Private,Husband,White,Male,<=50K
4184, 4184,United-States,Sales,Married-civ-spouse,Some-college,40,0,0,10,379798, 31,Private,Husband,White,Male,>50K
4185, 4185,United-States,Prof-specialty,Married-civ-spouse,Masters,50,0,0,14,168387, 32,Local-gov,Husband,White,Male,<=50K
4186, 4186,United-States,Protective-serv,Never-married,HS-grad,3,0,34095,9,301948, 18,Private,Own-child,White,Male,<=50K
4187, 4187,United-States,Adm-clerical,Divorced,HS-grad,50,0,0,9,274809, 36,Private,Unmarried,White,Female,<=50K
4188, 4188,United-States,Adm-clerical,Widowed,HS-grad,27,0,0,9,233193, 58,Private,Not-in-family,White,Female,<=50K
4189, 4189,United-States,Exec-managerial,Married-civ-spouse,Masters,50,1902,0,14,299635, 34,Private,Husband,White,Male,>50K
4190, 4190,United-States,Handlers-cleaners,Never-married,11th,40,0,0,7,236396, 19,Private,Not-in-family,White,Male,<=50K
4191, 4191,United-States,Adm-clerical,Never-married,HS-grad,40,0,0,9,688355, 21,Private,Unmarried,Black,Female,<=50K
4192, 4192,United-States,Farming-fishing,Never-married,HS-grad,50,0,0,9,37019, 36,Self-emp-inc,Not-in-family,White,Male,<=50K
4193, 4193,United-States,Prof-specialty,Married-civ-spouse,Bachelors,40,0,15024,13,148015, 37,Private,Wife,Black,Female,>50K
4194, 4194,Trinadad&Tobago,Machine-op-inspct,Married-civ-spouse,HS-grad,21,0,0,9,122975, 43,Private,Wife,Black,Female,<=50K
4195, 4195,United-States,Protective-serv,Married-civ-spouse,Bachelors,40,0,0,13,349795, 52,State-gov,Husband,White,Male,<=50K
4196, 4196,United-States,Prof-specialty,Divorced,Some-college,38,0,0,10,108945, 43,Private,Unmarried,White,Female,<=50K
4197, 4197,United-States,Other-service,Never-married,HS-grad,40,0,0,9,237498, 22,Private,Own-child,White,Male,<=50K
4198, 4198,United-States,Transport-moving,Divorced,5th-6th,40,0,6497,3,188872, 57,Private,Unmarried,White,Male,<=50K
4199, 4199,United-States,Adm-clerical,Never-married,Assoc-acdm,40,0,0,12,324019, 37,Private,Not-in-family,White,Female,<=50K
4200, 4200,United-States,Sales,Divorced,Some-college,38,0,0,10,82488, 39,Private,Unmarried,Asian-Pac-Islander,Female,<=50K
4201, 4201,United-States,Sales,Married-civ-spouse,Some-college,40,0,0,10,206964, 54,Private,Husband,White,Male,>50K
4202, 4202,United-States,Other-service,Never-married,Assoc-acdm,40,0,0,12,37088, 27,Private,Not-in-family,White,Male,<=50K
4203, 4203,United-States,Adm-clerical,Never-married,HS-grad,35,0,0,9,152540, 21,Private,Not-in-family,White,Female,<=50K
4204, 4204,United-States,Adm-clerical,Separated,Some-college,38,0,0,10,143554, 65,Private,Not-in-family,White,Female,<=50K
4205, 4205,United-States,Other-service,Married-civ-spouse,Some-college,40,0,0,10,126242, 30,Private,Wife,White,Female,<=50K
4206, 4206,United-States,Machine-op-inspct,Never-married,9th,40,0,0,5,127185, 22,Private,Not-in-family,White,Female,<=50K
4207, 4207,United-States,Sales,Married-civ-spouse,Bachelors,50,0,4064,13,164018, 26,Private,Husband,White,Male,<=50K
4208, 4208,United-States,Craft-repair,Separated,11th,40,0,0,7,210184, 25,Private,Own-child,White,Male,<=50K
4209, 4209,United-States,Exec-managerial,Married-civ-spouse,Assoc-voc,50,0,15024,11,124973, 47,Private,Husband,White,Male,>50K
4210, 4210,United-States,Other-service,Never-married,Assoc-acdm,60,0,0,12,182117, 23,Private,Own-child,White,Male,<=50K
4211, 4211,United-States,Sales,Married-civ-spouse,HS-grad,40,0,0,9,220049, 42,Private,Husband,Black,Male,>50K
4212, 4212,United-States,Craft-repair,Never-married,Some-college,30,0,0,10,247975, 39,Self-emp-not-inc,Not-in-family,Asian-Pac-Islander,Male,<=50K
4213, 4213,United-States,Exec-managerial,Married-civ-spouse,Doctorate,60,0,0,16,50164, 55,Private,Husband,White,Male,>50K
4214, 4214,China,Prof-specialty,Married-spouse-absent,Masters,10,0,0,14,123160, 24,State-gov,Not-in-family,Asian-Pac-Islander,Female,<=50K
4215, 4215,United-States,Craft-repair,Married-civ-spouse,HS-grad,40,0,0,9,79324, 53,Private,Husband,White,Male,>50K
4216, 4216,United-States,Other-service,Separated,11th,60,0,0,7,129100, 44,Private,Unmarried,Black,Female,<=50K
4217, 4217,United-States,Transport-moving,Separated,HS-grad,40,0,0,9,210275, 40,Private,Unmarried,Black,Female,<=50K
4218, 4218,United-States,Craft-repair,Married-civ-spouse,Some-college,40,0,7688,10,189462, 48,Private,Husband,White,Male,>50K
4219, 4219,United-States,Adm-clerical,Separated,Assoc-voc,35,0,0,11,171114, 26,Private,Unmarried,White,Female,<=50K
4220, 4220,United-States,Sales,Never-married,HS-grad,40,0,0,9,201799, 22,Private,Own-child,White,Female,<=50K
4221, 4221,United-States,Exec-managerial,Divorced,HS-grad,40,0,0,9,191149, 43,Private,Not-in-family,White,Female,<=50K
4222, 4222,United-States,Other-service,Married-civ-spouse,HS-grad,25,0,0,9,34173, 37,Local-gov,Wife,White,Female,<=50K
4223, 4223,Laos,Craft-repair,Married-civ-spouse,HS-grad,40,0,0,9,350979, 30,Private,Husband,Asian-Pac-Islander,Male,<=50K
4224, 4224,United-States,Sales,Married-civ-spouse,HS-grad,50,0,0,9,147314, 41,Private,Husband,Amer-Indian-Eskimo,Male,<=50K
4225, 4225,United-States,Prof-specialty,Married-civ-spouse,Prof-school,60,0,0,15,136081, 38,Private,Husband,White,Male,>50K
4226, 4226,United-States,Farming-fishing,Married-civ-spouse,HS-grad,50,0,0,9,373403, 42,Self-emp-not-inc,Husband,White,Male,<=50K
4227, 4227,United-States,Transport-moving,Never-married,HS-grad,40,0,0,9,120601, 20,Private,Own-child,Black,Male,<=50K
4228, 4228,United-States,Adm-clerical,Divorced,Bachelors,40,0,3674,13,130926, 36,Private,Not-in-family,White,Female,<=50K
4229, 4229,United-States,Prof-specialty,Never-married,Assoc-voc,40,0,0,11,72338, 32,Federal-gov,Other-relative,Asian-Pac-Islander,Male,<=50K
4230, 4230,United-States,Exec-managerial,Married-civ-spouse,Bachelors,40,0,0,13,129624, 27,Private,Husband,White,Male,>50K
4231, 4231,United-States,Protective-serv,Divorced,Some-college,45,0,0,10,328697, 25,State-gov,Other-relative,White,Male,<=50K
4232, 4232,United-States,Exec-managerial,Never-married,Masters,40,0,0,14,191196, 40,Private,Not-in-family,White,Male,<=50K
4233, 4233,United-States,Exec-managerial,Married-civ-spouse,Bachelors,45,0,0,13,110243, 49,Private,Husband,White,Male,>50K
4234, 4234,United-States,Other-service,Never-married,11th,16,0,0,7,181580, 17,Private,Own-child,White,Female,<=50K
4235, 4235,United-States,Sales,Never-married,HS-grad,40,0,0,9,89030, 29,Private,Unmarried,White,Female,<=50K
4236, 4236,Taiwan,Prof-specialty,Married-civ-spouse,Prof-school,55,0,99999,15,345493, 47,Private,Husband,Asian-Pac-Islander,Male,>50K
4237, 4237,United-States,Handlers-cleaners,Separated,Some-college,45,0,0,10,277700, 24,Self-emp-not-inc,Own-child,White,Male,<=50K
4238, 4238,United-States,Craft-repair,Never-married,HS-grad,40,0,0,9,250679, 29,Private,Not-in-family,White,Male,<=50K
4239, 4239,Canada,Adm-clerical,Married-civ-spouse,Some-college,24,0,0,10,168837, 45,Private,Wife,White,Female,>50K
4240, 4240,United-States,Craft-repair,Married-civ-spouse,12th,50,0,0,8,142675, 30,Private,Husband,White,Male,<=50K
4241, 4241,United-States,Adm-clerical,Never-married,Some-college,20,0,0,10,299050, 19,Private,Own-child,White,Male,<=50K
4242, 4242,United-States,Transport-moving,Married-civ-spouse,10th,40,1485,0,6,107833, 59,Private,Husband,White,Male,>50K
4243, 4243,United-States,Other-service,Married-spouse-absent,7th-8th,30,0,0,4,121958, 47,Private,Unmarried,White,Female,<=50K
4244, 4244,United-States,Tech-support,Married-civ-spouse,Some-college,40,0,3137,10,282948, 41,Private,Husband,Black,Male,<=50K
4245, 4245,France,Prof-specialty,Never-married,Assoc-acdm,40,0,0,12,176683, 28,Private,Own-child,White,Male,<=50K
4246, 4246,United-States,Craft-repair,Married-civ-spouse,Assoc-acdm,40,0,0,12,34377, 46,Private,Husband,White,Male,>50K
4247, 4247,United-States,Craft-repair,Married-civ-spouse,Some-college,60,0,0,10,209833, 40,Self-emp-not-inc,Husband,White,Male,<=50K
4248, 4248,United-States,Other-service,Divorced,10th,40,0,0,6,41506, 66,State-gov,Not-in-family,Black,Female,<=50K
4249, 4249,United-States,Craft-repair,Never-married,Some-college,12,0,0,10,147206, 44,Self-emp-not-inc,Own-child,White,Male,<=50K
4250, 4250,United-States,Exec-managerial,Married-civ-spouse,HS-grad,60,0,15024,9,93664, 58,Self-emp-not-inc,Husband,White,Male,>50K
4251, 4251,Mexico,Other-service,Never-married,7th-8th,48,0,0,4,315065, 21,Private,Other-relative,White,Male,<=50K
4252, 4252,United-States,Other-service,Widowed,9th,40,0,0,5,381851, 59,Private,Unmarried,Black,Female,<=50K
4253, 4253,United-States,Other-service,Married-civ-spouse,Some-college,40,0,0,10,185769, 35,Local-gov,Husband,White,Male,<=50K
4254, 4254,United-States,Adm-clerical,Married-civ-spouse,9th,40,0,5178,5,186272, 45,Private,Husband,Black,Male,>50K
4255, 4255,United-States,Transport-moving,Married-civ-spouse,HS-grad,40,0,0,9,312667, 30,Private,Husband,White,Male,<=50K
4256, 4256,Jamaica,Handlers-cleaners,Never-married,HS-grad,40,0,0,9,343925, 33,Private,Not-in-family,Black,Male,<=50K
4257, 4257,United-States,Sales,Never-married,Some-college,15,0,0,10,195994, 26,Private,Not-in-family,White,Female,<=50K
4258, 4258,United-States,Sales,Separated,Some-college,35,0,0,10,398843, 48,Private,Unmarried,Black,Female,<=50K
4259, 4259,United-States,Sales,Never-married,HS-grad,40,0,0,9,73514, 31,Private,Own-child,Asian-Pac-Islander,Female,<=50K
4260, 4260,United-States,Exec-managerial,Married-civ-spouse,HS-grad,45,0,0,9,288049, 36,Private,Husband,White,Male,<=50K
4261, 4261,United-States,Prof-specialty,Divorced,HS-grad,38,0,0,9,54759, 48,Private,Unmarried,White,Female,<=50K
4262, 4262,United-States,Craft-repair,Married-civ-spouse,HS-grad,40,0,5013,9,155343, 30,Private,Husband,White,Male,<=50K
4263, 4263,United-States,Handlers-cleaners,Married-civ-spouse,HS-grad,50,0,0,9,401104, 33,Private,Husband,White,Male,>50K
4264, 4264,United-States,Exec-managerial,Married-civ-spouse,Bachelors,45,0,0,13,113995, 53,Private,Husband,White,Male,>50K
4265, 4265,United-States,Transport-moving,Married-civ-spouse,Some-college,50,0,7298,10,111499, 38,Private,Husband,White,Male,>50K
4266, 4266,United-States,Other-service,Never-married,Some-college,50,0,0,10,34374, 34,Private,Not-in-family,White,Male,<=50K
4267, 4267,United-States,Sales,Married-civ-spouse,Bachelors,52,0,0,13,162187, 45,Private,Husband,White,Male,>50K
4268, 4268,United-States,Prof-specialty,Married-civ-spouse,Assoc-voc,60,0,0,11,147654, 33,Local-gov,Husband,White,Male,<=50K
4269, 4269,United-States,Craft-repair,Married-civ-spouse,Assoc-voc,44,0,0,11,182467, 35,Private,Wife,White,Female,<=50K
4270, 4270,United-States,Handlers-cleaners,Never-married,HS-grad,40,0,0,9,183970, 22,Private,Own-child,Black,Male,<=50K
4271, 4271,United-States,Other-service,Divorced,HS-grad,30,0,0,9,332588, 35,Private,Unmarried,White,Female,<=50K
4272, 4272,United-States,Prof-specialty,Married-civ-spouse,HS-grad,8,0,0,9,26781, 45,Private,Husband,Amer-Indian-Eskimo,Male,<=50K
4273, 4273,United-States,Farming-fishing,Never-married,11th,45,0,0,7,48610, 17,Private,Own-child,White,Male,<=50K
4274, 4274,United-States,Exec-managerial,Married-civ-spouse,HS-grad,45,0,0,9,162632, 50,Private,Husband,White,Male,<=50K
4275, 4275,United-States,Prof-specialty,Married-civ-spouse,Bachelors,50,0,0,13,91711, 38,Local-gov,Husband,White,Male,>50K
4276, 4276,United-States,Craft-repair,Married-civ-spouse,Some-college,50,0,7298,10,198003, 33,Private,Husband,White,Male,>50K
4277, 4277,United-States,Sales,Never-married,Bachelors,50,0,6849,13,262778, 25,Private,Not-in-family,White,Female,<=50K
4278, 4278,United-States,Craft-repair,Married-civ-spouse,HS-grad,40,0,0,9,102470, 64,Private,Husband,White,Male,<=50K
4279, 4279,United-States,Exec-managerial,Married-civ-spouse,Some-college,10,0,0,10,123170, 62,Self-emp-not-inc,Husband,White,Male,<=50K
4280, 4280,United-States,Tech-support,Married-civ-spouse,HS-grad,60,0,0,9,164243, 32,Private,Husband,White,Male,>50K
4281, 4281,United-States,Sales,Never-married,11th,20,0,0,7,262511, 17,Private,Own-child,White,Male,<=50K
4282, 4282,United-States,Craft-repair,Married-civ-spouse,HS-grad,55,0,0,9,51170, 61,Private,Husband,White,Male,<=50K
4283, 4283,United-States,Prof-specialty,Never-married,Doctorate,40,0,0,16,91949, 40,State-gov,Not-in-family,Black,Female,<=50K
